short binary word	
000000	a
000001	b
000010	c
000011	d
000100	e
000101	f
000110	g
000111	h
001000	i
001001	j
001010	k
001011	l
001100	m
001101	n
001110	o
001111	p
010000	q
010001	r
010010	s
010011	t
010100	u
010101	v
010110	w
010111	x
011000	y
011001	z
011010	.
011011	,
011100	\n
011101	!
011110	"
011111	" "


long binary word	
1000000	A
1000001	B
1000010	C
1000011	D
1000100	E
1000101	F
1000110	G
1000111	H
1001000	I
1001001	J
1001010	K
1001011	L
1001100	M
1001101	N
1001110	O
1001111	P
1010000	Q
1010001	R
1010010	S
1010011	T
1010100	U
1010101	V
1010110	W
1010111	X
1011000	Y
1011001	Z
1011010	'
1011011	-
1011100	
1011101	
1011110	
1011111	
1100000	for
1100001	and
1100010	nor
1100011	but
1100100	or
1100101	yet
1100110	so
1100111	al
1101000	er
1101001	ism
1101010	ist
1101011	tion
1101100	ate
1101101	en
1101110	able
1101111	al
1110000	ic
1110001	less
1110010	ly
1110011	an
1110100	auto
1110101	com
1110110	de
1110111	dis
1111000	en
1111001	in
1111010	sub
1111011	un
1111100	tri
1111101	anti
1111110	ex
1111111	trans
